Rk,Class Year,Height,Player,Team,Conf_x,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year,Rk_ranking,Conf_y,G,Rec,AdjOE,AdjDE,Barthag,Eff. FG% - EFG%,Eff. FG% - EFGD%,Turnover% - TOR,Turnover% - TORD,Rebound% - ORB,Rebound% - DRB,FT Rate - FTR,FT Rate - FTRD,2-Pt % - 2P%,2-Pt % - 2P%D,3-Pt % - 3P%,3-Pt % - 3P%D,3P Rate - 3PR,3P Rate - 3PRD,Adj T.,WAB,Seed,Result,Rk_stats,Adj. Eff. - Off.,Adj. Eff. - Def.,Eff. FG% - Off.,Eff. FG% - Def.,Turnover% - Off.,Turnover% - Def.,Off. Reb% - Off.,Off. Reb% - Def.,FT Rate - Off.,FT Rate - Def.,FT% - Off.,FT% - Def.,2P% - Off.,2P% - Def.,3P% - Off.,3P% - Def.
47,So,'6-5',Jarrett Culver,Texas Tech,B12,80.6,4.7,10.5,106.9,32.2,50.5,54.2,5.7,17.3,25.9,15.5,2.2,2.7,37.7,205-390,0.526,7.8,'49-161',0.304,2019,3.0,B12,38.0,'31-7',115.9,86.4,0.967,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,36.0,40.3,65.9,7.0,3.0,Finals,17.0,115.9,86.4,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,73.2,69.4,52.8,41.9,36.5,29.7
48,Sr,'6-2',Jordan Davis,Northern Colorado,BSky,85.8,4.7,5.5,111.0,35.6,51.9,57.4,3.0,13.0,33.5,16.4,1.0,2.4,43.4,189-371,0.509,7.9,'51-141',0.362,2019,165.0,BSky,32.0,'21-11',103.6,104.0,0.4893,53.0,51.4,18.4,18.6,27.7,25.6,34.8,28.4,53.6,49.5,34.9,37.1,45.4,31.2,66.1,-6.5,,,189.0,103.6,104.0,53.0,51.4,18.4,18.6,27.7,25.6,34.8,28.4,69.9,72.4,53.6,49.5,34.9,37.1
49,Sr,'6-6',Max Strus,DePaul,BE,90.3,4.7,3.9,115.8,23.4,53.3,57.5,3.5,14.7,11.3,12.7,1.6,1.4,28.1,119-230,0.517,13.2,'113-311',0.363,2019,121.0,BE,36.0,'19-17',112.6,107.4,0.6317,52.7,53.2,18.8,17.7,32.7,25.6,36.1,30.9,53.3,51.2,34.3,37.3,32.8,43.2,69.5,-5.1,,,38.0,112.6,107.4,52.7,53.2,18.8,17.7,32.7,25.6,36.1,30.9,72.7,73.0,53.3,51.2,34.3,37.3
50,Sr,'6-6',Marial Shayok,Iowa St,B12,79.9,4.7,5.4,111.9,26.9,57.1,61.1,5.1,11.7,12.2,17.6,0.8,1.7,26.6,158-278,0.568,9.6,'71-185',0.384,2019,16.0,B12,35.0,'23-12',119.1,97.8,0.9062,54.7,48.4,16.3,18.8,28.3,30.1,30.0,23.6,55.0,47.1,36.2,33.6,39.6,39.2,67.5,4.3,6.0,R64,9.0,119.1,97.8,54.7,48.4,16.3,18.8,28.3,30.1,30.0,23.6,73.2,71.7,55.0,47.1,36.2,33.6
Show 100 more,,'nan',,,,,,,,,,,,,,,,,,,,,'nan',,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Chart,,'nan',,,,,,,,,,,,,,,,,,,,,'nan',,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,'5-11',Markus Howard,Marquette,BE,78.9,7.0,10.2,113.5,37.3,52.9,59.3,1.9,9.1,26.2,15.3,0.1,1.6,44.5,115-266,0.432,17.1,'121-294',0.412,2020,33.0,BE,30.0,'18-12',114.0,97.4,0.8585,51.6,46.8,18.9,15.1,30.0,26.0,39.2,34.9,46.9,46.0,38.2,32.2,44.6,34.9,70.8,1.2,,,16.0,114.0,97.4,51.6,46.8,18.9,15.1,30.0,26.0,39.2,34.9,74.3,66.5,46.9,46.0,38.2,32.2
2,Sr,'6-2',Payton Pritchard,Oregon,P12,88.8,6.9,10.0,120.6,28.4,56.3,60.1,2.3,11.6,31.6,16.0,0.1,2.5,30.3,128-250,0.512,11.3,'88-212',0.415,2020,18.0,P12,31.0,'24-7',117.5,97.4,0.8966,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,37.3,40.6,65.2,4.8,,,5.0,117.5,97.4,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,70.0,73.3,51.4,46.2,39.6,32.6
3,Sr,'6-1',Jordan Ford,Saint Mary's,WCC,93.4,6.2,7.4,119.3,27.0,56.1,59.6,2.0,8.4,13.8,9.0,0.1,2.2,25.8,181-337,0.537,9.8,'81-202',0.401,2020,41.0,WCC,33.0,'25-8',114.0,98.8,0.8384,54.2,50.8,14.9,17.7,25.1,23.6,30.8,28.0,51.9,50.7,38.8,34.0,35.8,31.9,63.8,2.8,,,14.0,114.0,98.8,54.2,50.8,14.9,17.7,25.1,23.6,30.8,28.0,75.4,71.6,51.9,50.7,38.8,34.0
4,Jr,'6-11',Luka Garza,Iowa,B10,80.1,6.2,10.5,117.0,31.1,57.8,59.4,12.5,21.2,9.3,10.4,6.0,1.5,36.8,248-421,0.589,6.2,'39-109',0.358,2020,31.0,B10,31.0,'20-11',117.2,99.7,0.8653,51.6,49.4,17.1,17.6,32.0,29.5,34.4,26.8,51.3,50.3,34.7,32.1,37.6,40.0,70.1,3.3,,,6.0,117.2,99.7,51.6,49.4,17.1,17.6,32.0,29.5,34.4,26.8,75.0,72.6,51.3,50.3,34.7,32.1
5,Jr,'5-8',Loren Cristian Jackson,Akron,MAC,86.3,6.0,8.0,123.7,26.8,58.7,63.8,2.1,6.2,29.2,14.5,0.1,1.5,37.9,96-192,0.5,11.7,'91-204',0.446,2020,83.0,MAC,31.0,'24-7',107.9,98.8,0.7342,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,44.3,34.0,69.4,-1.0,,,69.0,107.9,98.8,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,76.9,66.3,49.6,45.2,36.2,31.5
6,Sr,'6-5',Sam Merrill,Utah St,MWC,86.3,5.8,9.2,125.9,24.1,56.6,62.5,0.6,12.0,24.0,10.9,0.4,1.5,39.7,106-206,0.515,11.4,'89-217',0.41,2020,38.0,MWC,34.0,'26-8',109.3,94.4,0.8435,51.8,46.4,18.2,17.5,30.7,22.4,36.3,26.8,53.3,44.9,32.9,32.3,38.2,41.9,67.5,1.2,,,48.0,109.3,94.4,51.8,46.4,18.2,17.5,30.7,22.4,36.3,26.8,76.3,70.4,53.3,44.9,32.9,32.3
7,So,'6-2',Devon Dotson,Kansas,B12,84.2,5.8,10.0,114.1,26.3,51.1,57.4,1.9,10.5,23.3,15.9,0.3,3.6,44.8,140-261,0.536,6.7,'35-116',0.302,2020,1.0,B12,31.0,'28-3',116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,32.5,41.3,67.4,10.9,,,7.0,116.1,87.7,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,67.1,67.2,54.9,42.4,34.1,30.5
8,So,'6-5',Tyrese Haliburton,Iowa St,B12,62.8,5.6,10.7,120.1,21.5,61.1,63.1,4.6,13.7,35.3,20.1,2.0,3.8,18.4,71-120,0.592,8.8,'52-124',0.419,2020,90.0,B12,32.0,'12-20',109.3,100.8,0.7175,49.8,51.8,18.7,20.6,29.2,31.6,28.5,28.0,51.3,50.5,31.6,35.9,37.7,36.8,69.8,-5.6,,,50.0,109.3,100.8,49.8,51.8,18.7,20.6,29.2,31.6,28.5,28.0,74.6,69.2,51.3,50.5,31.6,35.9
9,Jr,'6-1',Malachi Flynn,San Diego St,MWC,84.8,5.6,10.9,121.5,27.1,53.2,58.3,2.3,13.5,30.2,11.7,0.4,3.1,33.7,107-209,0.512,11.6,'74-201',0.368,2020,9.0,MWC,32.0,'30-2',113.8,92.8,0.9121,54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,53.0,45.3,37.9,30.1,42.2,42.4,64.7,6.6,,,17.0,113.8,92.8,54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,77.3,72.6,53.0,45.3,37.9,30.1
10,Jr,'6-1',Carlik Jones,Radford,BSth,83.9,5.4,8.4,119.9,31.4,53.1,58.9,2.3,16.1,36.1,13.5,0.7,2.3,44.1,162-320,0.506,6.6,'44-109',0.404,2020,199.0,BSth,32.0,'21-11',104.7,107.3,0.4302,52.6,50.1,16.4,16.3,30.4,26.6,32.5,34.3,52.4,50.8,35.2,32.9,38.5,45.1,64.1,-6.0,,,128.0,104.7,107.3,52.6,50.1,16.4,16.3,30.4,26.6,32.5,34.3,64.5,67.3,52.4,50.8,35.2,32.9
11,So,'6-10',Daniel Oturu,Minnesota,B10,84.2,5.4,9.9,112.0,28.3,58.5,61.2,12.0,23.3,7.6,17.5,7.1,1.0,42.8,219-371,0.59,2.9,'19-52',0.365,2020,27.0,B10,31.0,'15-16',111.9,94.4,0.8763,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28.0,48.6,45.4,33.7,30.7,40.7,31.2,66.8,-1.5,,,30.0,111.9,94.4,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28.0,69.1,70.7,48.6,45.4,33.7,30.7
12,Jr,'6-5',Mason Jones,Arkansas,SEC,80.6,5.4,8.4,111.9,31.6,53.3,61.4,2.4,16.3,23.0,16.7,0.5,2.7,66.8,123-228,0.539,10.3,'68-194',0.351,2020,52.0,SEC,32.0,'20-12',108.9,96.1,0.8083,50.9,47.3,15.9,22.1,21.5,31.4,42.5,40.9,51.5,50.5,33.4,27.2,39.9,33.3,71.0,-1.3,,,54.0,108.9,96.1,50.9,47.3,15.9,22.1,21.5,31.4,42.5,40.9,73.1,70.1,51.5,50.5,33.4,27.2
13,So,'6-9',Obi Toppin,Dayton,A10,78.2,5.4,11.9,122.5,26.2,67.4,68.4,5.2,22.0,14.5,15.4,4.1,1.8,36.4,213-305,0.698,4.9,'32-82',0.39,2020,4.0,A10,31.0,'29-2',119.5,93.4,0.9445,59.7,46.6,18.0,18.8,26.4,26.6,33.9,30.9,62.3,45.1,37.1,33.0,39.0,33.2,67.5,6.8,,,3.0,119.5,93.4,59.7,46.6,18.0,18.8,26.4,26.6,33.9,30.9,72.0,64.4,62.3,45.1,37.1,33.0
14,Sr,'6-1',Cassius Winston,Michigan St,B10,78.9,5.3,7.7,112.2,29.1,53.6,58.5,0.7,7.1,36.3,19.5,0.1,2.1,32.7,112-244,0.459,10.0,'73-169',0.432,2020,5.0,B10,31.0,'22-9',114.8,91.3,0.9327,52.6,43.3,18.1,15.8,32.8,26.0,30.8,29.3,52.9,43.4,34.8,28.7,37.5,37.7,69.3,5.2,,,11.0,114.8,91.3,52.6,43.3,18.1,15.8,32.8,26.0,30.8,29.3,75.0,70.3,52.9,43.4,34.8,28.7
15,Sr,'6-3',Jonah Radebaugh,Northern Colorado,BSky,95.0,5.3,7.3,118.7,25.7,55.9,58.6,3.7,16.4,35.1,16.4,0.6,2.3,23.5,137-266,0.515,5.9,'48-108',0.444,2020,93.0,BSky,31.0,'22-9',109.3,101.1,0.7085,54.7,48.5,15.4,16.8,25.0,24.0,25.3,24.9,53.6,50.2,37.4,28.5,45.1,23.5,65.0,-3.7,,,51.0,109.3,101.1,54.7,48.5,15.4,16.8,25.0,24.0,25.3,24.9,67.3,70.4,53.6,50.2,37.4,28.5
16,Sr,'6-3',Grant Riller,Charleston,CAA,84.0,5.3,7.0,112.1,33.9,54.8,60.5,1.9,15.2,30.5,16.6,1.0,2.9,46.2,173-315,0.549,7.6,'47-129',0.364,2020,172.0,CAA,31.0,'17-14',104.2,104.4,0.4939,51.1,49.1,16.3,17.7,22.7,29.3,32.3,32.5,50.3,48.7,34.9,33.2,40.1,37.6,65.8,0.0,,,142.0,104.2,104.4,51.1,49.1,16.3,17.7,22.7,29.3,32.3,32.5,76.3,74.4,50.3,48.7,34.9,33.2
17,Jr,'6-4',Javion Hamlet,North Texas,CUSA,76.6,5.2,5.0,120.3,27.5,53.9,60.8,1.9,10.1,34.9,17.1,0.1,1.4,45.5,121-237,0.511,4.2,'26-60',0.433,2020,69.0,CUSA,31.0,'20-11',111.6,100.3,0.7726,55.3,49.8,20.6,20.7,29.3,27.7,29.4,38.8,54.6,47.8,37.5,35.5,40.9,36.4,63.0,-3.5,,,32.0,111.6,100.3,55.3,49.8,20.6,20.7,29.3,27.7,29.4,38.8,76.9,69.1,54.6,47.8,37.5,35.5
18,Jr,'6-0',Jhivvan Jackson,UTSA,CUSA,86.4,5.2,6.1,106.1,35.7,49.8,54.2,2.9,14.4,17.3,12.5,0.7,2.3,26.5,152-325,0.468,16.8,'110-312',0.353,2020,207.0,CUSA,32.0,'13-19',104.0,107.5,0.4057,48.1,52.2,17.0,18.2,26.7,26.4,26.4,38.0,45.5,51.6,34.4,35.4,42.8,39.6,72.9,-12.2,,,144.0,104.0,107.5,48.1,52.2,17.0,18.2,26.7,26.4,26.4,38.0,77.8,71.2,45.5,51.6,34.4,35.4
19,Sr,'6-0',Anthony Cowan Jr.,Maryland,B10,86.9,5.1,6.8,113.4,25.1,46.9,55.4,1.8,9.7,29.2,15.1,0.5,1.6,59.6,83-182,0.456,9.6,'56-174',0.322,2020,26.0,B10,31.0,'24-7',112.7,94.7,0.88,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,50.1,44.5,31.1,32.5,43.1,38.1,67.1,6.9,,,24.0,112.7,94.7,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,74.7,69.8,50.1,44.5,31.1,32.5
20,Sr,'6-1',Jordan Roland,Northeastern,CAA,90.1,5.1,5.8,118.1,27.5,57.4,61.6,1.9,10.1,11.3,10.8,0.8,2.6,28.2,155-277,0.56,12.3,'95-241',0.394,2020,121.0,CAA,33.0,'17-16',105.9,101.2,0.6267,54.8,51.7,17.9,19.8,24.4,24.2,25.6,30.6,54.3,53.2,37.1,32.9,40.2,38.0,66.0,-10.7,,,108.0,105.9,101.2,54.8,51.7,17.9,19.8,24.4,24.2,25.6,30.6,79.0,72.5,54.3,53.2,37.1,32.9
21,Sr,'6-4',Skylar Mays,LSU,SEC,85.4,5.1,7.3,120.5,21.7,56.4,62.2,1.6,13.7,17.0,17.1,0.7,2.9,43.9,119-217,0.548,6.7,'50-127',0.394,2020,43.0,SEC,31.0,'21-10',118.3,102.5,0.8379,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,34.3,41.4,69.9,0.9,,,4.0,118.3,102.5,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,76.9,68.8,54.7,47.8,32.7,34.5
22,So,'6-8',Saddiq Bey,Villanova,BE,84.4,5.1,7.3,119.0,22.0,58.4,60.8,4.5,11.3,14.9,11.8,1.1,1.4,24.8,96-192,0.5,9.9,'79-175',0.451,2020,11.0,BE,31.0,'24-7',114.0,93.7,0.9047,52.6,48.2,16.0,16.9,25.7,24.5,26.9,23.6,51.5,47.9,35.9,32.5,47.3,31.8,66.2,6.8,,,15.0,114.0,93.7,52.6,48.2,16.0,16.9,25.7,24.5,26.9,23.6,75.9,70.2,51.5,47.9,35.9,32.5
23,So,'5-11',Kendric Davis,SMU,Amer,73.9,5.0,4.0,116.5,23.9,49.8,55.7,2.1,11.6,39.2,17.9,0.4,2.0,36.4,99-193,0.513,6.0,'28-90',0.311,2020,82.0,Amer,30.0,'19-11',113.0,103.3,0.7375,52.1,49.2,19.8,18.7,34.1,29.0,31.7,28.2,54.7,47.4,32.3,34.4,42.8,43.0,64.7,-2.5,,,22.0,113.0,103.3,52.1,49.2,19.8,18.7,34.1,29.0,31.7,28.2,76.2,73.9,54.7,47.4,32.3,34.4
24,Jr,'6-5',Jalen Harris,Nevada,MWC,79.6,5.0,7.0,111.0,31.8,51.3,56.1,2.5,17.5,26.5,12.8,0.5,1.9,32.8,156-315,0.495,10.5,'67-185',0.362,2020,80.0,MWC,31.0,'19-12',110.1,100.2,0.7477,52.9,47.0,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,42.9,44.2,71.1,-3.7,,,44.0,110.1,100.2,52.9,47.0,16.7,15.2,25.2,24.4,28.3,36.5,75.3,71.7,49.5,48.8,38.3,29.8
25,Sr,'6-8',Quintin Dove,Tennessee Martin,OVC,85.0,5.0,-0.9,120.4,26.5,58.2,62.7,12.1,14.6,6.2,14.3,1.0,0.7,49.3,173-288,0.601,3.8,'20-61',0.328,2020,335.0,OVC,29.0,'9-20',104.5,122.6,0.1368,50.9,58.4,18.5,16.9,30.4,34.4,32.5,28.2,51.4,58.1,33.3,39.2,38.1,41.5,68.6,-15.1,,,134.0,104.5,122.6,50.9,58.4,18.5,16.9,30.4,34.4,32.5,28.2,75.3,69.8,51.4,58.1,33.3,39.2
26,Sr,'6-6',Desmond Bane,TCU,B12,89.6,5.0,8.9,112.2,23.5,54.9,56.5,4.6,16.6,26.0,16.7,1.6,2.4,13.3,100-222,0.45,10.8,'87-198',0.439,2020,87.0,B12,32.0,'16-16',105.1,96.7,0.7214,49.4,49.3,21.5,21.0,32.2,29.6,27.1,30.8,46.6,47.6,35.4,35.1,43.0,33.1,64.9,-3.3,,,119.0,105.1,96.7,49.4,49.3,21.5,21.0,32.2,29.6,27.1,30.8,63.5,66.7,46.6,47.6,35.4,35.1
27,So,'6-10',Jalen Smith,Maryland,B10,78.1,5.0,10.8,120.1,22.6,59.0,62.6,11.5,25.4,6.1,14.3,8.3,1.3,47.4,136-225,0.604,5.3,'32-87',0.368,2020,26.0,B10,31.0,'24-7',112.7,94.7,0.88,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,50.1,44.5,31.1,32.5,43.1,38.1,67.1,6.9,,,24.0,112.7,94.7,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,74.7,69.8,50.1,44.5,31.1,32.5
28,Jr,'6-1',Jalen Crutcher,Dayton,A10,80.3,4.9,7.2,121.5,22.4,58.3,62.6,1.8,9.1,25.5,16.0,0.4,1.5,31.5,75-144,0.521,9.8,'72-170',0.424,2020,4.0,A10,31.0,'29-2',119.5,93.4,0.9445,59.7,46.6,18.0,18.8,26.4,26.6,33.9,30.9,62.3,45.1,37.1,33.0,39.0,33.2,67.5,6.8,,,3.0,119.5,93.4,59.7,46.6,18.0,18.8,26.4,26.6,33.9,30.9,72.0,64.4,62.3,45.1,37.1,33.0
29,Jr,'6-5',Terry Taylor,Austin Peay,OVC,91.9,4.8,6.6,116.1,26.8,58.2,59.3,12.3,23.4,9.2,14.2,3.9,2.1,31.9,224-364,0.615,6.0,'38-119',0.319,2020,160.0,OVC,33.0,'21-12',106.9,105.9,0.5271,51.3,53.1,18.4,20.6,32.9,27.9,37.3,32.5,50.4,52.3,35.3,36.4,33.4,34.2,67.6,-6.0,,,85.0,106.9,105.9,51.3,53.1,18.4,20.6,32.9,27.9,37.3,32.5,71.3,70.6,50.4,52.3,35.3,36.4
30,Sr,'6-8',Sha'markus Kennedy,McNeese St,Slnd,81.8,4.8,6.3,126.4,23.2,68.2,70.5,12.9,25.6,10.0,17.5,9.0,1.2,47.2,205-299,0.686,0.2,'1-4',0.25,2020,271.0,Slnd,32.0,'15-17',102.9,112.1,0.2727,54.9,51.5,22.7,17.6,30.1,31.7,35.7,29.6,54.3,48.7,37.3,37.3,35.9,39.0,68.8,-12.3,,,166.0,102.9,112.1,54.9,51.5,22.7,17.6,30.1,31.7,35.7,29.6,72.2,75.3,54.3,48.7,37.3,37.3
31,Sr,'6-6',Sean McDermott,Butler,BE,82.0,4.8,8.3,129.9,15.4,60.4,63.9,4.4,18.4,6.2,8.4,1.5,1.3,27.1,54-86,0.628,10.1,'65-165',0.394,2020,24.0,BE,31.0,'22-9',112.7,94.6,0.8818,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,52.9,43.5,34.1,33.0,36.8,37.9,63.7,4.5,,,25.0,112.7,94.6,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,72.8,71.9,52.9,43.5,34.1,33.0
32,Sr,'6-10',Nathan Knight,William & Mary,CAA,74.8,4.8,7.7,114.0,34.4,55.6,60.9,11.2,29.4,14.6,14.8,5.2,1.4,52.9,193-330,0.585,6.1,'29-95',0.305,2020,177.0,CAA,32.0,'21-11',103.6,104.3,0.4808,53.5,49.5,18.8,14.3,24.6,23.8,30.6,26.5,54.0,47.4,35.2,35.6,39.0,35.5,67.6,-5.2,,,153.0,103.6,104.3,53.5,49.5,18.8,14.3,24.6,23.8,30.6,26.5,74.5,71.4,54.0,47.4,35.2,35.6
33,Fr,'6-9',Isaiah Stewart,Washington,P12,80.2,4.8,6.6,115.7,24.2,57.7,62.9,10.6,19.4,6.3,16.1,7.0,0.9,59.1,187-317,0.59,1.1,'5-20',0.25,2020,54.0,P12,32.0,'15-17',105.5,93.3,0.8048,50.4,44.1,21.3,19.3,27.4,31.8,37.9,31.4,51.4,42.4,32.5,31.2,38.4,38.2,69.6,-5.0,,,113.0,105.5,93.3,50.4,44.1,21.3,19.3,27.4,31.8,37.9,31.4,72.2,71.9,51.4,42.4,32.5,31.2
34,So,'6-10',Reggie Perry,Mississippi St,SEC,77.7,4.8,7.5,112.9,28.8,53.1,58.7,12.4,25.1,16.1,19.1,4.1,1.6,53.0,160-295,0.542,4.3,'23-71',0.324,2020,49.0,SEC,31.0,'20-11',113.6,99.8,0.8159,51.5,48.1,20.6,17.1,37.0,28.3,39.5,31.6,51.9,48.8,33.6,31.2,28.0,36.2,66.1,-0.5,,,18.0,113.6,99.8,51.5,48.1,20.6,17.1,37.0,28.3,39.5,31.6,75.4,73.3,51.9,48.8,33.6,31.2
35,Sr,'5-11',Desure Buie,Hofstra,CAA,94.1,4.8,5.9,115.4,26.4,53.3,58.0,1.6,9.7,31.8,17.2,0.3,3.2,31.3,133-284,0.468,8.4,'76-179',0.425,2020,106.0,CAA,34.0,'26-8',108.9,102.5,0.6657,51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,49.0,52.8,37.4,30.7,38.0,36.6,68.0,-2.7,,,53.0,108.9,102.5,51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,78.6,72.5,49.0,52.8,37.4,30.7
36,Jr,'6-6',Elijah Hughes,Syracuse,ACC,91.1,4.7,6.7,110.5,25.5,51.1,56.1,1.3,13.3,20.1,14.2,2.9,1.8,35.8,120-236,0.508,11.3,'78-228',0.342,2020,44.0,ACC,32.0,'18-14',113.5,98.6,0.8345,50.5,48.3,16.5,20.3,29.6,32.2,35.7,30.2,51.4,48.3,32.9,32.2,42.2,47.9,68.0,-2.7,,,19.0,113.5,98.6,50.5,48.3,16.5,20.3,29.6,32.2,35.7,30.2,74.0,73.0,51.4,48.3,32.9,32.2
37,Sr,'6-8',Yoeli Childs,BYU,WCC,43.6,4.7,8.4,109.2,35.6,60.8,60.3,8.7,28.2,17.5,13.3,3.3,1.5,30.4,153-260,0.588,4.8,'22-46',0.478,2020,17.0,WCC,32.0,'24-8',115.9,96.0,0.8972,58.1,49.0,15.5,18.2,20.6,24.1,23.4,27.9,54.8,50.7,41.9,30.3,41.3,33.7,69.4,2.7,,,8.0,115.9,96.0,58.1,49.0,15.5,18.2,20.6,24.1,23.4,27.9,69.7,69.7,54.8,50.7,41.9,30.3
38,Sr,'6-7',Tres Tinkle,Oregon St,P12,86.2,4.7,7.0,109.4,28.3,50.0,55.9,4.8,18.9,20.7,13.8,1.7,3.0,41.9,137-279,0.491,8.3,'51-148',0.345,2020,84.0,P12,31.0,'18-13',110.5,101.4,0.7302,51.6,49.4,17.3,18.6,26.5,29.0,38.8,30.9,53.2,47.9,32.5,34.7,34.9,36.4,65.8,-2.9,,,42.0,110.5,101.4,51.6,49.4,17.3,18.6,26.5,29.0,38.8,30.9,75.1,73.4,53.2,47.9,32.5,34.7
39,Sr,'6-0',Jermaine Marrow,Hampton,BSth,77.6,4.7,0.0,105.7,34.6,45.0,51.3,2.2,7.2,37.6,12.9,0.2,1.6,46.9,144-310,0.465,10.5,'51-180',0.283,2020,302.0,BSth,34.0,'15-19',104.9,117.2,0.2176,50.2,53.6,15.7,15.1,27.4,31.0,41.0,38.1,50.8,53.4,32.4,36.0,31.1,39.1,70.6,-14.1,,,123.0,104.9,117.2,50.2,53.6,15.7,15.1,27.4,31.0,41.0,38.1,69.7,70.5,50.8,53.4,32.4,36.0
40,Jr,'6-4',Ty-Shon Alexander,Creighton,BE,87.4,4.6,7.1,114.8,21.9,53.0,58.5,0.9,14.8,12.3,10.4,0.8,2.2,35.8,77-169,0.456,10.9,'79-200',0.395,2020,7.0,BE,31.0,'24-7',120.6,96.4,0.9289,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,53.0,48.9,38.7,31.8,42.7,38.4,68.3,6.1,,,2.0,120.6,96.4,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,74.9,70.0,53.0,48.9,38.7,31.8
41,Jr,'6-0',Marreon Jackson,Toledo,MAC,88.4,4.6,4.4,110.3,29.6,51.6,56.7,2.1,10.7,33.2,16.8,0.0,2.3,37.6,95-207,0.459,13.6,'97-259',0.375,2020,166.0,MAC,32.0,'17-15',106.2,105.6,0.5171,50.9,48.7,17.6,16.2,27.8,27.7,36.7,26.5,47.9,46.6,36.8,34.9,41.8,37.1,67.9,-8.9,,,101.0,106.2,105.6,50.9,48.7,17.6,16.2,27.8,27.7,36.7,26.5,74.5,70.4,47.9,46.6,36.8,34.9
42,So,'6-2',Marcus Carr,Minnesota,B10,91.4,4.6,4.7,106.6,25.9,45.8,50.2,2.9,12.4,35.6,16.5,0.3,1.4,40.0,105-256,0.41,7.5,'52-144',0.361,2020,27.0,B10,31.0,'15-16',111.9,94.4,0.8763,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28.0,48.6,45.4,33.7,30.7,40.7,31.2,66.8,-1.5,,,30.0,111.9,94.4,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28.0,69.1,70.7,48.6,45.4,33.7,30.7
43,Jr,'6-1',Colbey Ross,Pepperdine,WCC,92.3,4.6,2.8,104.1,31.5,47.5,54.4,2.2,12.4,40.0,20.7,0.5,1.6,40.8,129-293,0.44,9.9,'74-212',0.349,2020,128.0,WCC,32.0,'16-16',107.7,103.4,0.6164,50.0,52.8,17.4,19.0,26.9,27.8,33.0,34.7,48.4,50.3,35.1,38.1,37.5,36.5,70.9,-6.2,,,71.0,107.7,103.4,50.0,52.8,17.4,19.0,26.9,27.8,33.0,34.7,79.2,71.5,48.4,50.3,35.1,38.1
44,Fr,'6-9',Onyeka Okongwu,USC,P12,68.4,4.6,10.9,119.1,23.4,61.9,64.6,12.4,18.4,8.4,15.9,9.8,2.3,50.2,175-281,0.623,0.3,'1-4',0.25,2020,57.0,P12,31.0,'22-9',103.6,91.9,0.7991,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28.0,48.1,43.1,35.0,31.3,32.1,39.4,69.1,1.8,,,150.0,103.6,91.9,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28.0,66.2,69.8,48.1,43.1,35.0,31.3
